assembly_version	biosample_accession	bioproject_accession	organism	genus	n_arg_occurrences	n_plasmid_args	n_chromosomal_args	pct_plasmid	n_distinct_families	n_arg_bearing_replicons	n_arg_bearing_plasmids
GCF_038430465.1	SAMN36766251	PRJNA1000275	Klebsiella pneumoniae	Klebsiella	25	21	4	84.0	20	3	2
GCF_038430715.1	SAMN36766250	PRJNA1000275	Klebsiella quasipneumoniae	Klebsiella	20	16	4	80.0	18	2	1
GCF_038431215.1	SAMN36766249	PRJNA1000275	Klebsiella pneumoniae	Klebsiella	21	17	4	80.952	20	4	3
GCF_038431885.1	SAMN36766215	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	15	0	15	0.0	14	1	0
GCF_038431895.1	SAMN36766214	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	9	0	9	0.0	9	1	0
GCF_038431905.1	SAMN36766213	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	15	0	15	0.0	14	1	0
GCF_038431915.1	SAMN36766212	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	13	0	13	0.0	12	1	0
GCF_038431925.1	SAMN36766211	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_038431935.1	SAMN36766210	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	14	9	5	64.286	14	2	1
GCF_038431945.1	SAMN36766209	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_038432515.1	SAMN36766208	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	16	0	16	0.0	12	1	0
GCF_038433795.1	SAMN36766207	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	15	11	4	73.333	14	3	2
GCF_038435155.1	SAMN36766206	PRJNA1000275	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_038442825.1	SAMN40918467	PRJNA288601	Klebsiella variicola	Klebsiella	8	4	4	50.0	8	2	1
GCF_038444095.1	SAMN40981038	PRJNA1100799	Klebsiella pneumoniae	Klebsiella	7	3	4	42.857	6	2	1
GCF_038444445.1	SAMN40981037	PRJNA1100799	Klebsiella pneumoniae	Klebsiella	7	3	4	42.857	6	2	1
GCF_038445195.1	SAMN40981036	PRJNA1100799	Klebsiella pneumoniae	Klebsiella	7	3	4	42.857	6	2	1
GCF_038447555.1	SAMN38201489	PRJNA1038782	Klebsiella pneumoniae	Klebsiella	13	9	4	69.231	12	3	2
GCF_038448985.1	SAMN40918481	PRJNA288601	Klebsiella michiganensis	Klebsiella	4	3	1	75.0	4	2	1
GCF_038592855.1	SAMN41002031	PRJNA1101738	Klebsiella pneumoniae	Klebsiella	19	15	4	78.947	19	2	1
GCF_038626985.1	SAMN41094950	PRJNA812595	Enterobacter hormaechei	Enterobacter	16	12	4	75.0	13	4	3
GCF_038627005.1	SAMN41094951	PRJNA812595	Enterobacter roggenkampii	Enterobacter	4	0	4	0.0	4	1	0
GCF_038627025.1	SAMN41094952	PRJNA812595	Enterobacter hormaechei	Enterobacter	16	12	4	75.0	15	2	1
GCF_038627045.1	SAMN41094953	PRJNA812595	Enterobacter hormaechei	Enterobacter	8	4	4	50.0	8	3	2
GCF_038627095.1	SAMN41094957	PRJNA812595	Enterobacter hormaechei	Enterobacter	26	8	18	30.769	23	2	1
GCF_038627175.1	SAMN41094956	PRJNA812595	Klebsiella pneumoniae	Klebsiella	23	19	4	82.609	22	3	2
GCF_038630195.1	SAMN41094958	PRJNA812595	Klebsiella pneumoniae	Klebsiella	28	24	4	85.714	21	3	2
GCF_038674545.1	SAMN41028361	PRJNA1102729	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_038684765.1	SAMN41018411	PRJNA1090858	Klebsiella pneumoniae	Klebsiella	5	1	4	20.0	5	2	1
GCF_038686745.1	SAMN41018408	PRJNA1090858	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_038689005.1	SAMN41018410	PRJNA1090858	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_038691155.1	SAMN41018409	PRJNA1090858	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_038727575.1	SAMN30881388	PRJNA879875	Enterobacter asburiae	Enterobacter	4	1	3	25.0	4	2	1
GCF_038750345.1	SAMN36775361	PRJNA1000705	Pseudomonas kurunegalensis	Pseudomonas	27	17	10	62.963	23	2	1
GCF_038977565.1	SAMN41075543	PRJNA1104369	Klebsiella pneumoniae	Klebsiella	16	14	2	87.5	13	3	2
GCF_038979805.1	SAMN41075591	PRJNA1104370	Klebsiella pneumoniae	Klebsiella	11	9	2	81.818	10	3	2
GCF_038981815.1	SAMN41075473	PRJNA1104368	Klebsiella pneumoniae	Klebsiella	11	9	2	81.818	10	3	2
GCF_039134825.1	SAMN41050928	PRJNA1103349	Klebsiella pneumoniae	Klebsiella	7	3	4	42.857	6	2	1
GCF_039512425.1	SAMN41101937	PRJNA1105422	Pseudomonas aeruginosa	Pseudomonas	10	0	10	0.0	10	1	0
GCF_039515315.1	SAMN41106963	PRJNA1105646	Klebsiella pneumoniae	Klebsiella	20	18	2	90.0	16	3	2
GCF_039515985.1	SAMN41106964	PRJNA1105649	Klebsiella pneumoniae	Klebsiella	25	15	10	60.0	20	3	2
GCF_039518015.1	SAMN41106943	PRJNA1105644	Klebsiella pneumoniae	Klebsiella	12	10	2	83.333	11	3	2
GCF_039519055.1	SAMN41106960	PRJNA1105645	Klebsiella pneumoniae	Klebsiella	13	9	4	69.231	11	3	2
GCF_039519595.1	SAMN41050904	PRJNA1103345	Klebsiella planticola	Klebsiella	16	13	3	81.25	16	3	2
GCF_039519865.1	SAMN41076123	PRJNA1104382	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	13	3	2
GCF_039519935.1	SAMN41076128	PRJNA1104388	Klebsiella pneumoniae	Klebsiella	15	13	2	86.667	12	3	2
GCF_039520045.1	SAMN41076126	PRJNA1104385	Klebsiella pneumoniae	Klebsiella	10	6	4	60.0	10	3	2
GCF_039520115.1	SAMN41076125	PRJNA1104384	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	3	2
GCF_039520285.1	SAMN41076124	PRJNA1104383	Klebsiella pneumoniae	Klebsiella	5	4	1	80.0	5	2	1
GCF_039520935.1	SAMN41076127	PRJNA1104387	Klebsiella pneumoniae	Klebsiella	8	6	2	75.0	7	2	1
GCF_039545765.1	SAMN41075592	PRJNA1104371	Klebsiella pneumoniae	Klebsiella	11	9	2	81.818	10	3	2
GCF_039545775.1	SAMN41076730	PRJNA1104397	Klebsiella variicola	Klebsiella	4	0	4	0.0	4	1	0
GCF_039545785.1	SAMN41075352	PRJNA1104315	Klebsiella pneumoniae	Klebsiella	14	12	2	85.714	13	4	3
GCF_039555165.1	SAMN36719476	PRJNA925669	Pseudomonas aeruginosa	Pseudomonas	16	0	16	0.0	13	1	0
GCF_039555235.1	SAMN37275729	PRJNA1012750	Klebsiella pneumoniae	Klebsiella	30	26	4	86.667	16	4	3
GCF_039555645.1	SAMN41075781	PRJNA1104378	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	16	3	2
GCF_039555755.1	SAMN40943204	PRJNA1099586	Pseudomonas sediminis	Pseudomonas	1	0	1	0.0	1	1	0
GCF_039566115.1	SAMN35344984	PRJNA559804	Klebsiella variicola	Klebsiella	4	0	4	0.0	4	1	0
GCF_039566125.1	SAMN35344985	PRJNA559804	Klebsiella pneumoniae	Klebsiella	9	5	4	55.556	9	2	1
GCF_039604935.1	SAMN41327119	PRJNA812595	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	16	2	1
GCF_039605015.1	SAMN41327114	PRJNA812595	Klebsiella oxytoca	Klebsiella	16	13	3	81.25	16	2	1
GCF_039622755.1	SAMN31648909	PRJNA899139	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039622765.1	SAMN31664472	PRJNA899561	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039622815.1	SAMN31665928	PRJNA899661	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039622885.1	SAMN31782784	PRJNA903095	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039623865.1	SAMN32635504	PRJNA921853	Enterobacter asburiae	Enterobacter	17	13	4	76.471	14	2	1
GCF_039634495.1	SAMN36905049	PRJNA1003791	Pseudomonas fulva	Pseudomonas	27	21	6	77.778	21	2	1
GCF_039634505.1	SAMN36905085	PRJNA1003802	Pseudomonas sp.	Pseudomonas	35	19	16	54.286	22	2	1
GCF_039634515.1	SAMN38150179	PRJNA1036782	Pseudomonas putida	Pseudomonas	21	18	3	85.714	16	2	1
GCF_039653425.1	SAMN41407425	PRJNA812595	Klebsiella pneumoniae	Klebsiella	21	17	4	80.952	21	4	3
GCF_039653445.1	SAMN41407426	PRJNA812595	Klebsiella pneumoniae	Klebsiella	29	24	5	82.759	23	3	2
GCF_039653465.1	SAMN41407427	PRJNA812595	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	15	3	2
GCF_039702325.1	SAMN41377788	PRJNA1110805	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039703805.1	SAMN41315130	PRJNA1110002	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	14	2	1
GCF_039703855.1	SAMN41315587	PRJNA1110011	Klebsiella pneumoniae	Klebsiella	20	11	9	55.0	16	3	2
GCF_039703985.1	SAMN41315737	PRJNA1110026	Klebsiella pneumoniae	Klebsiella	5	1	4	20.0	5	2	1
GCF_039704295.1	SAMN41315736	PRJNA1110025	Klebsiella pneumoniae	Klebsiella	35	31	4	88.571	26	3	2
GCF_039704325.1	SAMN41315744	PRJNA1110025	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_039704375.1	SAMN41315805	PRJNA1110030	Klebsiella pneumoniae	Klebsiella	25	8	17	32.0	18	3	2
GCF_039704535.1	SAMN41316973	PRJNA1110049	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_039705005.1	SAMN41317032	PRJNA1110054	Klebsiella pneumoniae	Klebsiella	31	27	4	87.097	26	4	3
GCF_039718975.1	SAMN27594634	PRJNA827035	Enterobacter chuandaensis	Enterobacter	15	12	3	80.0	15	2	1
GCF_039720155.1	SAMN41257751	PRJNA1108917	Klebsiella pneumoniae	Klebsiella	17	13	4	76.471	17	2	1
GCF_039720385.1	SAMN41258061	PRJNA1108924	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_039720415.1	SAMN41258137	PRJNA1108927	Klebsiella pneumoniae	Klebsiella	11	7	4	63.636	11	2	1
GCF_039721295.1	SAMN41258151	PRJNA1108932	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_039721945.1	SAMN41258185	PRJNA1108935	Klebsiella quasipneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_039722655.1	SAMN41258202	PRJNA1108940	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_039723445.1	SAMN41258466	PRJNA1108944	Klebsiella pneumoniae	Klebsiella	12	8	4	66.667	12	2	1
GCF_039725435.1	SAMN41315461	PRJNA1110005	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	16	2	1
GCF_039727585.1	SAMN13618294	PRJNA596303	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_039727605.1	SAMN41378131	PRJNA1110810	Enterobacter roggenkampii	Enterobacter	6	2	4	33.333	6	2	1
GCF_039734725.1	SAMN41479334	PRJNA812595	Enterobacter hormaechei	Enterobacter	4	0	4	0.0	4	1	0
GCF_039734745.1	SAMN41479335	PRJNA812595	Klebsiella aerogenes	Klebsiella	5	1	4	20.0	5	2	1
GCF_039734785.1	SAMN41479338	PRJNA812595	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	18	2	1
GCF_039734825.1	SAMN41479337	PRJNA812595	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	18	4	3
GCF_039830125.1	SAMN41380030	PRJNA1110994	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039850505.1	SAMN41399802	PRJNA1111709	Enterobacter sp.	Enterobacter	4	0	4	0.0	4	1	0
GCF_039880285.1	SAMN39595399	PRJNA812595	Pseudomonas kurunegalensis	Pseudomonas	4	2	2	50.0	3	2	1
GCF_039904215.1	SAMN41471405	PRJNA1113959	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039906065.1	SAMN41483274	PRJNA1114384	Enterobacter hormaechei	Enterobacter	22	18	4	81.818	20	2	1
GCF_039908025.1	SAMN40265678	PRJNA1083994	Pseudomonas aeruginosa	Pseudomonas	16	0	16	0.0	11	1	0
GCF_039908075.1	SAMN40265799	PRJNA1083994	Pseudomonas aeruginosa	Pseudomonas	22	0	22	0.0	12	1	0
GCF_039919425.1	SAMN41494455	PRJNA607328	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_039921825.1	SAMN41494452	PRJNA607328	Pseudomonas aeruginosa	Pseudomonas	6	0	6	0.0	6	1	0
GCF_039924275.1	SAMN41494456	PRJNA607328	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040008295.1	SAMN41494451	PRJNA607328	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040029055.1	SAMN41531516	PRJNA1116330	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040029785.2	SAMN41531519	PRJNA1116332	Klebsiella pneumoniae	Klebsiella	5	1	4	20.0	5	2	1
GCF_040031875.1	SAMN41551932	PRJNA1116829	Klebsiella pneumoniae	Klebsiella	22	17	5	77.273	21	4	3
GCF_040047695.1	SAMN41561446	PRJNA1117195	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	15	4	3
GCF_040047705.1	SAMN41551931	PRJNA1116829	Klebsiella pneumoniae	Klebsiella	18	13	5	72.222	18	3	2
GCF_040059225.1	SAMN41422173	PRJNA1112354	Enterobacter cloacae	Enterobacter	5	0	5	0.0	5	1	0
GCF_040084805.1	SAMN41551933	PRJNA1116835	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040084815.1	SAMN41387349	PRJNA1111283	Klebsiella pneumoniae	Klebsiella	2	0	2	0.0	2	1	0
GCF_040105165.1	SAMN41638874	PRJNA1119178	Klebsiella pneumoniae	Klebsiella	30	26	4	86.667	28	3	2
GCF_040215115.1	SAMN41684531	PRJNA1120221	Klebsiella michiganensis	Klebsiella	15	0	15	0.0	14	1	0
GCF_040250275.1	SAMN41744912	PRJNA1121241	Klebsiella pneumoniae	Klebsiella	11	7	4	63.636	11	3	2
GCF_040256655.1	SAMN41258613	PRJNA1108951	Klebsiella pneumoniae	Klebsiella	37	33	4	89.189	26	3	2
GCF_040256665.1	SAMN41784246	PRJNA1122339	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	13	3	2
GCF_040256755.1	SAMN41039775	PRJNA1103093	Klebsiella pneumoniae	Klebsiella	19	13	6	68.421	18	3	2
GCF_040267715.1	SAMN41811824	PRJNA1123461	Klebsiella oxytoca	Klebsiella	3	0	3	0.0	3	1	0
GCF_040268335.1	SAMN41687624	PRJNA1120349	Pseudomonas aeruginosa	Pseudomonas	7	2	5	28.571	7	2	1
GCF_040281505.1	SAMN37208214	PRJNA997121	Pseudomonas solani	Pseudomonas	1	0	1	0.0	1	1	0
GCF_040282295.1	SAMN38327772	PRJNA1042960	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	13	3	2
GCF_040282925.1	SAMN40406820	PRJNA1086647	Klebsiella pneumoniae	Klebsiella	22	16	6	72.727	19	4	3
GCF_040283595.2	SAMN40406929	PRJNA1086654	Klebsiella pneumoniae	Klebsiella	23	17	6	73.913	19	5	4
GCF_040429595.1	SAMN41523228	PRJNA1116115	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040429605.1	SAMN41523227	PRJNA1116115	Pseudomonas aeruginosa	Pseudomonas	15	0	15	0.0	15	1	0
GCF_040436045.1	SAMN31264327	PRJNA889999	Klebsiella pneumoniae	Klebsiella	12	10	2	83.333	11	3	2
GCF_040436055.1	SAMN31264326	PRJNA889999	Klebsiella pneumoniae	Klebsiella	8	4	4	50.0	8	3	2
GCF_040436295.1	SAMN31264325	PRJNA889999	Klebsiella pneumoniae	Klebsiella	12	10	2	83.333	11	3	2
GCF_040436505.1	SAMN41685779	PRJNA1120246	Klebsiella quasipneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040436535.1	SAMN41685780	PRJNA1120246	Klebsiella variicola	Klebsiella	5	1	4	20.0	5	2	1
GCF_040436555.1	SAMN41685785	PRJNA1120246	Klebsiella pneumoniae	Klebsiella	9	5	4	55.556	8	2	1
GCF_040436695.1	SAMN41685788	PRJNA1120246	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040436715.1	SAMN41685790	PRJNA1120246	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040436885.1	SAMN41685799	PRJNA1120246	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	16	2	1
GCF_040437135.1	SAMN41685801	PRJNA1120246	Enterobacter hormaechei	Enterobacter	4	0	4	0.0	4	1	0
GCF_040437535.1	SAMN41685802	PRJNA1120246	Enterobacter hormaechei	Enterobacter	4	0	4	0.0	4	1	0
GCF_040438085.1	SAMN41685806	PRJNA1120246	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040438255.1	SAMN41685807	PRJNA1120246	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040498885.1	SAMN41943074	PRJNA1126452	Klebsiella pneumoniae	Klebsiella	24	20	4	83.333	17	4	3
GCF_040518045.1	SAMN40375161	PRJNA1086370	Klebsiella pneumoniae	Klebsiella	19	15	4	78.947	16	3	2
GCF_040529165.1	SAMN41726972	PRJNA1121092	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040543265.1	SAMN41660857	PRJNA1119654	Enterobacter hormaechei	Enterobacter	4	0	4	0.0	4	1	0
GCF_040548635.1	SAMN41660821	PRJNA1119654	Enterobacter hormaechei	Enterobacter	4	0	4	0.0	4	1	0
GCF_040550165.1	SAMN41660847	PRJNA1119654	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040550265.1	SAMN41660845	PRJNA1119654	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040550565.1	SAMN41660842	PRJNA1119654	Klebsiella quasipneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040550655.1	SAMN41660841	PRJNA1119654	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040560445.1	SAMN41814230	PRJNA1123618	Pseudomonas aeruginosa	Pseudomonas	17	12	5	70.588	15	3	2
GCF_040562075.1	SAMN41816897	PRJNA1123623	Pseudomonas aeruginosa	Pseudomonas	23	18	5	78.261	19	3	2
GCF_040571315.1	SAMN31248477	PRJNA889558	Klebsiella pneumoniae	Klebsiella	12	10	2	83.333	11	3	2
GCF_040571335.1	SAMN42207715	PRJNA1129159	Pseudomonas aeruginosa	Pseudomonas	18	0	18	0.0	15	1	0
GCF_040571345.1	SAMN42207716	PRJNA1129159	Klebsiella michiganensis	Klebsiella	24	20	4	83.333	21	2	1
GCF_040580825.1	SAMN41808994	PRJNA1025935	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040581105.1	SAMN41808993	PRJNA1025935	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040581215.1	SAMN41808992	PRJNA1025935	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040616415.1	SAMN39898430	PRJNA1075031	Klebsiella pneumoniae	Klebsiella	6	2	4	33.333	6	2	1
GCF_040616425.1	SAMN40406961	PRJNA1086659	Klebsiella pneumoniae	Klebsiella	22	16	6	72.727	19	4	3
GCF_040687745.1	SAMN35130612	PRJNA973555	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040687755.1	SAMN35130611	PRJNA973555	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040687765.1	SAMN35130610	PRJNA973555	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040687775.1	SAMN35130609	PRJNA973555	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040687785.1	SAMN35130608	PRJNA973555	Klebsiella pneumoniae	Klebsiella	2	0	2	0.0	2	1	0
GCF_040687985.1	SAMN42123393	PRJNA1129078	Klebsiella pneumoniae	Klebsiella	27	23	4	85.185	24	6	5
GCF_040687995.1	SAMN42123392	PRJNA1129078	Klebsiella pneumoniae	Klebsiella	24	20	4	83.333	23	4	3
GCF_040703095.1	SAMN42326985	PRJNA1131946	Klebsiella pneumoniae	Klebsiella	5	1	4	20.0	5	2	1
GCF_040703115.1	SAMN42318133	PRJNA1131755	Klebsiella pneumoniae	Klebsiella	12	0	12	0.0	12	1	0
GCF_040703135.1	SAMN42272941	PRJNA1131176	Klebsiella pneumoniae	Klebsiella	15	9	6	60.0	13	3	2
GCF_040735515.1	SAMN38049408	PRJNA1034027	Enterobacter hormaechei	Enterobacter	16	9	7	56.25	14	2	1
GCF_040735585.1	SAMN38049406	PRJNA1034027	Enterobacter roggenkampii	Enterobacter	4	0	4	0.0	4	1	0
GCF_040735615.1	SAMN38049405	PRJNA1034027	Klebsiella pneumoniae	Klebsiella	30	24	6	80.0	26	4	3
GCF_040735625.1	SAMN38049404	PRJNA1034027	Klebsiella quasipneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCF_040735975.1	SAMN41074222	PRJNA1104273	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040759875.1	SAMN42393194	PRJNA1134111	Pseudomonas fulva	Pseudomonas	27	17	10	62.963	24	2	1
GCF_040763065.1	SAMN32542126	PRJNA1071971	Klebsiella pneumoniae	Klebsiella	27	22	5	81.481	15	4	3
GCF_040763075.1	SAMN32542124	PRJNA1071971	Klebsiella pneumoniae	Klebsiella	28	23	5	82.143	15	4	3
GCF_040763085.1	SAMN32542119	PRJNA1071971	Klebsiella pneumoniae	Klebsiella	15	10	5	66.667	13	4	3
GCF_040763115.1	SAMN32542116	PRJNA1071971	Klebsiella pneumoniae	Klebsiella	15	10	5	66.667	13	4	3
GCF_040763125.1	SAMN32542113	PRJNA1071971	Klebsiella pneumoniae	Klebsiella	13	8	5	61.538	13	3	2
GCF_040784875.1	SAMN42420334	PRJNA1134426	Klebsiella pneumoniae	Klebsiella	15	13	2	86.667	13	4	3
GCF_040784925.1	SAMN42273878	PRJNA1131293	Pseudomonas sp.	Pseudomonas	1	0	1	0.0	1	1	0
GCF_040790895.1	SAMN42409777	PRJNA1134358	Pseudomonas asiatica	Pseudomonas	14	0	14	0.0	8	1	0
GCF_040803885.1	SAMN42423318	PRJNA1134648	Klebsiella pneumoniae	Klebsiella	14	8	6	57.143	13	4	3
GCF_040804525.1	SAMN42391532	PRJNA1133948	Klebsiella sp.	Klebsiella	4	0	4	0.0	4	1	0
GCF_040805115.1	SAMN42402387	PRJNA1134333	Pseudomonas fulva	Pseudomonas	26	26	0	100.0	19	2	2
GCF_040834065.1	SAMN42392509	PRJNA1134078	Enterobacter asburiae	Enterobacter	5	1	4	20.0	5	2	1
GCF_040834085.1	SAMN42392505	PRJNA1134078	Enterobacter cloacae	Enterobacter	5	0	5	0.0	5	1	0
GCF_040834095.1	SAMN42392507	PRJNA1134078	Enterobacter vonholyi	Enterobacter	5	0	5	0.0	5	1	0
GCF_040892575.1	SAMN42392504	PRJNA1134078	Enterobacter cloacae	Enterobacter	5	0	5	0.0	5	1	0
GCF_040892585.1	SAMN42392506	PRJNA1134078	Enterobacter cloacae	Enterobacter	5	0	5	0.0	5	1	0
GCF_040893155.1	SAMN42479578	PRJNA1135347	Klebsiella variicola	Klebsiella	4	0	4	0.0	4	1	0
GCF_040894335.1	SAMN42431182	PRJNA1134648	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	16	6	5
GCF_040930385.1	SAMN42326857	PRJNA1131943	Klebsiella variicola	Klebsiella	6	2	4	33.333	6	2	1
GCF_040931625.1	SAMN42232248	PRJNA1130897	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCF_040931635.1	SAMN42232247	PRJNA1130897	Pseudomonas aeruginosa	Pseudomonas	22	0	22	0.0	16	1	0
GCF_040931645.1	SAMN42338160	PRJNA1132269	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	17	4	3
GCF_040939135.1	SAMN42399998	PRJNA1134281	Pseudomonas fulva	Pseudomonas	25	25	0	100.0	18	1	1
GCF_040939565.1	SAMN40221516	PRJNA1083002	Klebsiella pneumoniae	Klebsiella	26	6	20	23.077	23	2	1
GCF_040939675.1	SAMN40221559	PRJNA1083007	Klebsiella pneumoniae	Klebsiella	26	6	20	23.077	23	2	1
GCF_040983885.2	SAMN42814193	PRJNA1140135	Klebsiella pneumoniae	Klebsiella	7	4	3	57.143	7	2	1
GCF_040983925.2	SAMN42814192	PRJNA1140135	Klebsiella pneumoniae	Klebsiella	10	7	3	70.0	9	3	2
GCF_041002795.1	SAMN42440417	PRJNA1135755	Klebsiella planticola	Klebsiella	22	16	6	72.727	21	3	2
GCF_041002845.1	SAMN42440416	PRJNA1135755	Klebsiella planticola	Klebsiella	22	16	6	72.727	21	3	2
GCF_041002895.1	SAMN42440415	PRJNA1135755	Klebsiella ornithinolytica	Klebsiella	22	16	6	72.727	21	3	2
GCF_041003495.1	SAMN42440414	PRJNA1135755	Klebsiella pneumoniae	Klebsiella	22	16	6	72.727	20	4	3
GCF_041003655.1	SAMN42440410	PRJNA1135755	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	16	3	2
GCF_041003725.1	SAMN42440409	PRJNA1135755	Klebsiella pasteurii	Klebsiella	5	2	3	40.0	5	2	1
GCF_041003735.1	SAMN42440408	PRJNA1135755	Klebsiella pasteurii	Klebsiella	5	2	3	40.0	5	2	1
GCF_041003805.1	SAMN42440407	PRJNA1135755	Klebsiella pneumoniae	Klebsiella	25	21	4	84.0	23	3	2
GCF_041003815.1	SAMN42440406	PRJNA1135755	Enterobacter asburiae	Enterobacter	16	10	6	62.5	16	4	3
GCF_041004025.1	SAMN42440405	PRJNA1135755	Klebsiella quasipneumoniae	Klebsiella	21	17	4	80.952	18	3	2
GCF_041004035.1	SAMN42440404	PRJNA1135755	Klebsiella quasipneumoniae	Klebsiella	21	17	4	80.952	20	3	2
GCF_041004125.1	SAMN42440403	PRJNA1135755	Enterobacter hormaechei	Enterobacter	23	19	4	82.609	21	4	3
GCF_041004185.1	SAMN42440401	PRJNA1135755	Klebsiella pneumoniae	Klebsiella	13	9	4	69.231	13	3	2
GCF_041004285.1	SAMN42440397	PRJNA1135755	Enterobacter hormaechei	Enterobacter	32	28	4	87.5	25	5	4
GCF_041004435.1	SAMN42440394	PRJNA1135755	Klebsiella pneumoniae	Klebsiella	10	6	4	60.0	10	2	1
GCF_041004465.1	SAMN42440393	PRJNA1135755	Enterobacter hormaechei	Enterobacter	27	23	4	85.185	24	3	2
GCF_041004475.1	SAMN42440392	PRJNA1135755	Enterobacter hormaechei	Enterobacter	31	20	11	64.516	26	4	3
