assembly_accession	assembly_version	replicon_accession	replicon_name	replicon_length	topology	species	genus	bioproject_accession	n_chromosomal_arg_occurrences	n_context_blocks	download_url	local_filename	expected_checksum
GCF_023101265.1	GCF_023101265.1	NZ_CP095920.1	chromosome	6381690	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA826241	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP095920.1&rettype=fasta&retmode=text	NZ_CP095920.1.fna	
GCF_023101285.1	GCF_023101285.1	NZ_CP095922.1	chromosome	6373091	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA826241	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP095922.1&rettype=fasta&retmode=text	NZ_CP095922.1.fna	
GCF_023101305.1	GCF_023101305.1	NZ_CP095923.1	chromosome	6558391	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA826241	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP095923.1&rettype=fasta&retmode=text	NZ_CP095923.1.fna	
GCF_023272755.1	GCF_023272755.1	NZ_CP096813.1	chromosome	6473527	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA832943	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP096813.1&rettype=fasta&retmode=text	NZ_CP096813.1.fna	
GCF_023380065.1	GCF_023380065.1	NZ_CP097256.1	chromosome	6355621	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA837013	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097256.1&rettype=fasta&retmode=text	NZ_CP097256.1.fna	
GCF_023520735.1	GCF_023520735.1	NZ_CP097383.1	chromosome	7010374	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA837561	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097383.1&rettype=fasta&retmode=text	NZ_CP097383.1.fna	
GCF_023571485.1	GCF_023571485.1	NZ_CP097575.1	chromosome	6335028	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA749299	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097575.1&rettype=fasta&retmode=text	NZ_CP097575.1.fna	
GCF_023572735.3	GCF_023572735.3	NZ_CP155048.1	chromosome	6997900	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA677881	25	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP155048.1&rettype=fasta&retmode=text	NZ_CP155048.1.fna	
GCF_023612335.1	GCF_023612335.1	NZ_CP069177.1	chromosome	6856553	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA674815	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP069177.1&rettype=fasta&retmode=text	NZ_CP069177.1.fna	
GCF_023822305.1	GCF_023822305.1	NZ_CP091880.1	chromosome	6458275	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA802725	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP091880.1&rettype=fasta&retmode=text	NZ_CP091880.1.fna	
GCF_024126335.1	GCF_024126335.1	NZ_CP099798.1	chromosome	6276485	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA830884	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP099798.1&rettype=fasta&retmode=text	NZ_CP099798.1.fna	
GCF_024126355.1	GCF_024126355.1	NZ_CP099797.1	chromosome	6217942	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA830884	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP099797.1&rettype=fasta&retmode=text	NZ_CP099797.1.fna	
GCF_024266805.1	GCF_024266805.1	NZ_CP100653.1	chromosome	6478686	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA855990	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP100653.1&rettype=fasta&retmode=text	NZ_CP100653.1.fna	
GCF_024266915.1	GCF_024266915.1	NZ_CP097709.1	chromosome	7046937	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA839732	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097709.1&rettype=fasta&retmode=text	NZ_CP097709.1.fna	
GCF_024266935.1	GCF_024266935.1	NZ_CP097710.1	chromosome	7048060	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA839735	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097710.1&rettype=fasta&retmode=text	NZ_CP097710.1.fna	
GCF_024300845.1	GCF_024300845.1	NZ_CP094851.1	chromosome	6351172	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA721782	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP094851.1&rettype=fasta&retmode=text	NZ_CP094851.1.fna	
GCF_024397355.1	GCF_024397355.1	NZ_CP101540.1	chromosome	6364446	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA858973	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP101540.1&rettype=fasta&retmode=text	NZ_CP101540.1.fna	
GCF_024507915.1	GCF_024507915.1	NZ_CP101911.1	chromosome	6325586	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA607328	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP101911.1&rettype=fasta&retmode=text	NZ_CP101911.1.fna	
GCF_024507955.1	GCF_024507955.1	NZ_CP101912.1	chromosome	6839761	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA607328	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP101912.1&rettype=fasta&retmode=text	NZ_CP101912.1.fna	
GCF_024584495.1	GCF_024584495.1	NZ_CP102174.1	chromosome	6902250	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA864563	14	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP102174.1&rettype=fasta&retmode=text	NZ_CP102174.1.fna	
GCF_024652945.3	GCF_024652945.3	NZ_CP102441.2	chromosome	6925322	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA866310	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP102441.2&rettype=fasta&retmode=text	NZ_CP102441.2.fna	
GCF_024734795.1	GCF_024734795.1	NZ_CP102944.1	chromosome	6871852	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA754843	15	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP102944.1&rettype=fasta&retmode=text	NZ_CP102944.1.fna	
GCF_024734815.1	GCF_024734815.1	NZ_CP102946.1	chromosome	6515978	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA754843	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP102946.1&rettype=fasta&retmode=text	NZ_CP102946.1.fna	
GCF_024803805.1	GCF_024803805.1	NZ_CP094677.1	chromosome	6582025	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA821336	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP094677.1&rettype=fasta&retmode=text	NZ_CP094677.1.fna	
GCF_024972855.1	GCF_024972855.1	NZ_CP101885.1	chromosome	6868572	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA860371	29	9	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP101885.1&rettype=fasta&retmode=text	NZ_CP101885.1.fna	
GCF_025021565.1	GCF_025021565.1	NZ_CP079712.1	chromosome	6275471	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA745538	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP079712.1&rettype=fasta&retmode=text	NZ_CP079712.1.fna	
GCF_025021745.1	GCF_025021745.1	NZ_CP085082.1	chromosome	6264447	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA745538	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP085082.1&rettype=fasta&retmode=text	NZ_CP085082.1.fna	
GCF_025079255.1	GCF_025079255.1	NZ_CP096207.1	chromosome	6885256	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA830320	7	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP096207.1&rettype=fasta&retmode=text	NZ_CP096207.1.fna	
GCF_025200845.1	GCF_025200845.1	NZ_CP104170.1	chromosome	6674687	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA847000	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104170.1&rettype=fasta&retmode=text	NZ_CP104170.1.fna	
GCF_025263585.1	GCF_025263585.1	NZ_CP079757.1	chromosome	6260102	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA745991	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP079757.1&rettype=fasta&retmode=text	NZ_CP079757.1.fna	
GCF_025263605.1	GCF_025263605.1	NZ_CP079758.1	chromosome	6245940	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA746969	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP079758.1&rettype=fasta&retmode=text	NZ_CP079758.1.fna	
GCF_025263705.1	GCF_025263705.1	NZ_CP092972.1	chromosome	6251522	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA812504	6	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP092972.1&rettype=fasta&retmode=text	NZ_CP092972.1.fna	
GCF_025398075.1	GCF_025398075.1	NZ_CP104584.1	chromosome	6949333	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA879940	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104584.1&rettype=fasta&retmode=text	NZ_CP104584.1.fna	
GCF_025398095.1	GCF_025398095.1	NZ_CP104586.1	chromosome	6757988	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA879940	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104586.1&rettype=fasta&retmode=text	NZ_CP104586.1.fna	
GCF_025398115.1	GCF_025398115.1	NZ_CP104588.1	chromosome	6942888	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA879940	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104588.1&rettype=fasta&retmode=text	NZ_CP104588.1.fna	
GCF_025398135.1	GCF_025398135.1	NZ_CP104590.1	chromosome	7094521	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA879940	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104590.1&rettype=fasta&retmode=text	NZ_CP104590.1.fna	
GCF_025398835.1	GCF_025398835.1	NZ_CP104720.1	chromosome	6074358	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA880798	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104720.1&rettype=fasta&retmode=text	NZ_CP104720.1.fna	
GCF_025452135.1	GCF_025452135.1	NZ_CP104913.1	chromosome	6264404	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA877471	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104913.1&rettype=fasta&retmode=text	NZ_CP104913.1.fna	
GCF_025723085.1	GCF_025723085.1	NZ_CP086213.1	chromosome	7223955	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA776240	9	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP086213.1&rettype=fasta&retmode=text	NZ_CP086213.1.fna	
GCF_025790885.1	GCF_025790885.1	NZ_CP107257.1	chromosome	7020963	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA812595	12	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP107257.1&rettype=fasta&retmode=text	NZ_CP107257.1.fna	
GCF_025985465.1	GCF_025985465.1	NZ_CP036492.1	chromosome	6275467	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA524303	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP036492.1&rettype=fasta&retmode=text	NZ_CP036492.1.fna	
GCF_026625905.1	GCF_026625905.1	NZ_CP113106.1	chromosome	6830555	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA903854	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP113106.1&rettype=fasta&retmode=text	NZ_CP113106.1.fna	
GCF_026636135.1	GCF_026636135.1	NZ_CP113246.1	chromosome	6273495	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA905210	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP113246.1&rettype=fasta&retmode=text	NZ_CP113246.1.fna	
GCF_026636195.1	GCF_026636195.1	NZ_CP113230.1	chromosome	6830406	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA903855	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP113230.1&rettype=fasta&retmode=text	NZ_CP113230.1.fna	
GCF_026727695.1	GCF_026727695.1	NZ_CP097556.1	chromosome	6387416	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA838002	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097556.1&rettype=fasta&retmode=text	NZ_CP097556.1.fna	
GCF_026727715.1	GCF_026727715.1	NZ_CP097555.1	chromosome	6387430	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA838003	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097555.1&rettype=fasta&retmode=text	NZ_CP097555.1.fna	
GCF_026727735.1	GCF_026727735.1	NZ_CP097557.1	chromosome	7083311	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA838005	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097557.1&rettype=fasta&retmode=text	NZ_CP097557.1.fna	
GCF_026727755.1	GCF_026727755.1	NZ_CP097560.1	chromosome	7345639	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA838004	7	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097560.1&rettype=fasta&retmode=text	NZ_CP097560.1.fna	
GCF_026870135.1	GCF_026870135.1	NZ_CP113974.1	chromosome	6755766	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA909305	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP113974.1&rettype=fasta&retmode=text	NZ_CP113974.1.fna	
GCF_027171385.1	GCF_027171385.1	NZ_CP114374.1	chromosome	6508614	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA911938	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP114374.1&rettype=fasta&retmode=text	NZ_CP114374.1.fna	
GCF_027359235.1	GCF_027359235.1	NZ_CP114761.1	chromosome	6823837	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA913466	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP114761.1&rettype=fasta&retmode=text	NZ_CP114761.1.fna	
GCF_027570415.1	GCF_027570415.1	NZ_CP104865.1	chromosome	6203666	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867191	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104865.1&rettype=fasta&retmode=text	NZ_CP104865.1.fna	
GCF_027570435.1	GCF_027570435.1	NZ_CP104868.1	chromosome	6573599	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867201	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104868.1&rettype=fasta&retmode=text	NZ_CP104868.1.fna	
GCF_027570455.1	GCF_027570455.1	NZ_CP104870.1	chromosome	7126864	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867199	6	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104870.1&rettype=fasta&retmode=text	NZ_CP104870.1.fna	
GCF_027570475.1	GCF_027570475.1	NZ_CP104866.1	chromosome	6832860	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867193	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104866.1&rettype=fasta&retmode=text	NZ_CP104866.1.fna	
GCF_027570495.1	GCF_027570495.1	NZ_CP104867.1	chromosome	6262103	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867202	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104867.1&rettype=fasta&retmode=text	NZ_CP104867.1.fna	
GCF_027570515.1	GCF_027570515.1	NZ_CP104869.1	chromosome	6669237	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867200	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104869.1&rettype=fasta&retmode=text	NZ_CP104869.1.fna	
GCF_027570535.1	GCF_027570535.1	NZ_CP106680.1	chromosome	6330533	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867207	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106680.1&rettype=fasta&retmode=text	NZ_CP106680.1.fna	
GCF_027570555.1	GCF_027570555.1	NZ_CP106681.1	chromosome	6739580	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867206	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106681.1&rettype=fasta&retmode=text	NZ_CP106681.1.fna	
GCF_027570575.1	GCF_027570575.1	NZ_CP106682.1	chromosome	6879940	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867205	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106682.1&rettype=fasta&retmode=text	NZ_CP106682.1.fna	
GCF_027570595.1	GCF_027570595.1	NZ_CP106742.1	chromosome	7015358	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867204	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106742.1&rettype=fasta&retmode=text	NZ_CP106742.1.fna	
GCF_027570615.1	GCF_027570615.1	NZ_CP106743.1	chromosome	6360180	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867203	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106743.1&rettype=fasta&retmode=text	NZ_CP106743.1.fna	
GCF_027570635.1	GCF_027570635.1	NZ_CP106744.1	chromosome	6910473	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867213	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106744.1&rettype=fasta&retmode=text	NZ_CP106744.1.fna	
GCF_027570655.1	GCF_027570655.1	NZ_CP106745.1	chromosome	6396161	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867212	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP106745.1&rettype=fasta&retmode=text	NZ_CP106745.1.fna	
GCF_027570675.1	GCF_027570675.1	NZ_CP107029.1	chromosome	6504256	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867210	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP107029.1&rettype=fasta&retmode=text	NZ_CP107029.1.fna	
GCF_027570715.1	GCF_027570715.1	NZ_CP107064.1	chromosome	7003703	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867209	15	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP107064.1&rettype=fasta&retmode=text	NZ_CP107064.1.fna	
GCF_027570735.1	GCF_027570735.1	NZ_CP107275.1	chromosome	6932838	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867216	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP107275.1&rettype=fasta&retmode=text	NZ_CP107275.1.fna	
GCF_027570755.1	GCF_027570755.1	NZ_CP109833.1	chromosome	6374444	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867215	9	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109833.1&rettype=fasta&retmode=text	NZ_CP109833.1.fna	
GCF_027570775.1	GCF_027570775.1	NZ_CP109834.1	chromosome	6289320	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867221	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109834.1&rettype=fasta&retmode=text	NZ_CP109834.1.fna	
GCF_027570795.1	GCF_027570795.1	NZ_CP109835.1	chromosome	6733209	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867220	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109835.1&rettype=fasta&retmode=text	NZ_CP109835.1.fna	
GCF_027570815.1	GCF_027570815.1	NZ_CP109843.1	chromosome	6748803	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867224	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109843.1&rettype=fasta&retmode=text	NZ_CP109843.1.fna	
GCF_027570835.1	GCF_027570835.1	NZ_CP109844.1	chromosome	6575888	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867231	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109844.1&rettype=fasta&retmode=text	NZ_CP109844.1.fna	
GCF_027570855.1	GCF_027570855.1	NZ_CP109845.1	chromosome	6948888	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867229	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109845.1&rettype=fasta&retmode=text	NZ_CP109845.1.fna	
GCF_027570875.1	GCF_027570875.1	NZ_CP109849.1	chromosome	6928454	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867227	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109849.1&rettype=fasta&retmode=text	NZ_CP109849.1.fna	
GCF_027570895.1	GCF_027570895.1	NZ_CP109850.1	chromosome	6437547	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867274	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109850.1&rettype=fasta&retmode=text	NZ_CP109850.1.fna	
GCF_027570915.1	GCF_027570915.1	NZ_CP109856.1	chromosome	6292498	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867300	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109856.1&rettype=fasta&retmode=text	NZ_CP109856.1.fna	
GCF_027570935.1	GCF_027570935.1	NZ_CP109851.1	chromosome	6420794	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867293	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109851.1&rettype=fasta&retmode=text	NZ_CP109851.1.fna	
GCF_027570955.1	GCF_027570955.1	NZ_CP109918.1	chromosome	6463386	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867298	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109918.1&rettype=fasta&retmode=text	NZ_CP109918.1.fna	
GCF_027570975.1	GCF_027570975.1	NZ_CP109919.1	chromosome	6338470	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867304	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109919.1&rettype=fasta&retmode=text	NZ_CP109919.1.fna	
GCF_027570995.1	GCF_027570995.1	NZ_CP109920.1	chromosome	7015423	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867268	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109920.1&rettype=fasta&retmode=text	NZ_CP109920.1.fna	
GCF_027571015.1	GCF_027571015.1	NZ_CP109931.1	chromosome	6381417	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867290	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109931.1&rettype=fasta&retmode=text	NZ_CP109931.1.fna	
GCF_027571035.1	GCF_027571035.1	NZ_CP109932.1	chromosome	6305107	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867289	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP109932.1&rettype=fasta&retmode=text	NZ_CP109932.1.fna	
GCF_027571055.1	GCF_027571055.1	NZ_CP110344.1	chromosome	6780197	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867214	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110344.1&rettype=fasta&retmode=text	NZ_CP110344.1.fna	
GCF_027571075.1	GCF_027571075.1	NZ_CP110345.1	chromosome	6807710	circular	Pseudomonas aeruginosa	Pseudomonas	PRJNA867223	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110345.1&rettype=fasta&retmode=text	NZ_CP110345.1.fna	
